dateTime;container_name;container_status;used_memory(MB);available_memory(MB);memory_usage(%);cpu_delta;system_cpu_delta;number_cpus;cpu_usage(%);total_cpu_usage;pre_total_cpu_usage
2022/09/07 14:46:08.766;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;5.269531;128.000000;4.116821;73163000;66954290000000;8;0.000874;73163000;0
2022/09/07 14:46:09.77;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;5.269531;128.000000;4.116821;0;8040000000;8;0.000000;73163000;73163000
2022/09/07 14:46:10.773;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;5.269531;128.000000;4.116821;0;8020000000;8;0.000000;73163000;73163000
2022/09/07 14:46:11.776;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;5.269531;128.000000;4.116821;0;7990000000;8;0.000000;73163000;73163000
2022/09/07 14:46:12.778;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;5.269531;128.000000;4.116821;0;8030000000;8;0.000000;73163000;73163000
2022/09/07 14:46:13.781;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;5.269531;128.000000;4.116821;0;8040000000;8;0.000000;73163000;73163000
2022/09/07 14:46:14.784;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;5.269531;128.000000;4.116821;0;7970000000;8;0.000000;73163000;73163000
2022/09/07 14:46:15.787;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;5.269531;128.000000;4.116821;0;8060000000;8;0.000000;73163000;73163000
2022/09/07 14:46:16.79;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;5.269531;128.000000;4.116821;0;8000000000;8;0.000000;73163000;73163000
2022/09/07 14:46:17.793;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;5.269531;128.000000;4.116821;0;8070000000;8;0.000000;73163000;73163000
2022/09/07 14:46:18.795;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;7.183594;128.000000;5.612183;6586000;8050000000;8;0.654509;79749000;73163000
2022/09/07 14:46:19.798;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;7.214844;128.000000;5.636597;2075000;8010000000;8;0.207241;81824000;79749000
2022/09/07 14:46:20.801;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;7.230469;128.000000;5.648804;2249000;8090000000;8;0.222398;84073000;81824000
2022/09/07 14:46:21.804;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;7.238281;128.000000;5.654907;1667000;7970000000;8;0.167327;85740000;84073000
2022/09/07 14:46:22.808;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;7.265625;128.000000;5.676270;2038000;8020000000;8;0.203292;87778000;85740000
2022/09/07 14:46:23.81;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;7.324219;128.000000;5.722046;3341000;8020000000;8;0.333267;91119000;87778000
2022/09/07 14:46:24.813;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;7.398438;128.000000;5.780029;4034000;7980000000;8;0.404411;95153000;91119000
2022/09/07 14:46:25.819;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;7.460938;128.000000;5.828857;3852000;8030000000;8;0.383761;99005000;95153000
2022/09/07 14:46:26.821;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;7.519531;128.000000;5.874634;4542000;8010000000;8;0.453633;103547000;99005000
2022/09/07 14:46:27.824;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;7.601562;128.000000;5.938721;3843000;8030000000;8;0.382864;107390000;103547000
2022/09/07 14:46:28.827;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;7.628906;128.000000;5.960083;4060000;8110000000;8;0.400493;111450000;107390000
2022/09/07 14:46:29.831;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;7.726562;128.000000;6.036377;4660000;8000000000;8;0.466000;116110000;111450000
2022/09/07 14:46:30.834;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;7.785156;128.000000;6.082153;5017000;8010000000;8;0.501074;121127000;116110000
2022/09/07 14:46:31.836;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;7.839844;128.000000;6.124878;3871000;7980000000;8;0.388070;124998000;121127000
2022/09/07 14:46:32.84;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;7.917969;128.000000;6.185913;4604000;8050000000;8;0.457540;129602000;124998000
2022/09/07 14:46:33.843;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;8.011719;128.000000;6.259155;4280000;8000000000;8;0.428000;133882000;129602000
2022/09/07 14:46:34.846;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;8.054688;128.000000;6.292725;3431000;8010000000;8;0.342672;137313000;133882000
2022/09/07 14:46:35.85;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;8.132812;128.000000;6.353760;4141000;8090000000;8;0.409493;141454000;137313000
2022/09/07 14:46:36.853;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;8.203125;128.000000;6.408691;4499000;8010000000;8;0.449338;145953000;141454000
2022/09/07 14:46:37.856;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;8.257812;128.000000;6.451416;4704000;8020000000;8;0.469227;150657000;145953000
2022/09/07 14:46:38.859;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;8.332031;128.000000;6.509399;3815000;8060000000;8;0.378660;154472000;150657000
2022/09/07 14:46:39.862;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;8.417969;128.000000;6.576538;3679000;7950000000;8;0.370214;158151000;154472000
2022/09/07 14:46:40.864;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;8.472656;128.000000;6.619263;3852000;7960000000;8;0.387136;162003000;158151000
2022/09/07 14:46:41.867;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;8.523438;128.000000;6.658936;3363000;8070000000;8;0.333383;165366000;162003000
2022/09/07 14:46:42.869;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;8.613281;128.000000;6.729126;3755000;8070000000;8;0.372243;169121000;165366000
2022/09/07 14:46:43.872;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;8.703125;128.000000;6.799316;4083000;8010000000;8;0.407790;173204000;169121000
2022/09/07 14:46:44.877;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;8.792969;128.000000;6.869507;3687000;8060000000;8;0.365955;176891000;173204000
2022/09/07 14:46:45.879;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;8.855469;128.000000;6.918335;4392000;8040000000;8;0.437015;181283000;176891000
2022/09/07 14:46:46.882;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;9.074219;128.000000;7.089233;4070000;8040000000;8;0.404975;185353000;181283000
2022/09/07 14:46:47.885;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;9.144531;128.000000;7.144165;3408000;7980000000;8;0.341654;188761000;185353000
2022/09/07 14:46:48.889;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;9.214844;128.000000;7.199097;4868000;8060000000;8;0.483176;193629000;188761000
2022/09/07 14:46:49.892;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;9.281250;128.000000;7.250977;4325000;8040000000;8;0.430348;197954000;193629000
2022/09/07 14:46:50.895;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;9.355469;128.000000;7.308960;4500000;8070000000;8;0.446097;202454000;197954000
2022/09/07 14:46:51.899;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;9.433594;128.000000;7.369995;5986000;8040000000;8;0.595622;208440000;202454000
2022/09/07 14:46:52.902;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;9.480469;128.000000;7.406616;4414000;8050000000;8;0.438658;212854000;208440000
2022/09/07 14:46:53.904;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;9.542969;128.000000;7.455444;3933000;7990000000;8;0.393792;216787000;212854000
2022/09/07 14:46:54.906;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;42.609375;128.000000;33.288574;293924000;8010000000;8;29.355705;510711000;216787000
2022/09/07 14:46:55.909;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;96.367188;128.000000;75.286865;989637000;8020000000;8;98.716908;1500348000;510711000
2022/09/07 14:46:56.911;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;127.996094;128.000000;99.996948;979612000;8000000000;8;97.961200;2479960000;1500348000
2022/09/07 14:46:57.914;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;127.972656;128.000000;99.978638;993661000;8040000000;8;98.871741;3473621000;2479960000
2022/09/07 14:46:58.917;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;48.363281;128.000000;37.783813;813866000;7990000000;8;81.488461;4287487000;3473621000
2022/09/07 14:46:59.92;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;119.691406;128.000000;93.508911;1040328000;8030000000;8;103.644134;5327815000;4287487000
2022/09/07 14:47:00.922;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;101.164062;128.000000;79.034424;993498000;8040000000;8;98.855522;6321313000;5327815000
2022/09/07 14:47:01.924;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;99.511719;128.000000;77.743530;976844000;8020000000;8;97.440798;7298157000;6321313000
2022/09/07 14:47:02.927;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;51.367188;128.000000;40.130615;988515000;8040000000;8;98.359701;8286672000;7298157000
2022/09/07 14:47:03.931;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;104.550781;128.000000;81.680298;1038040000;8100000000;8;102.522469;9324712000;8286672000
2022/09/07 14:47:04.934;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;112.031250;128.000000;87.524414;992084000;8090000000;8;98.104722;10316796000;9324712000
2022/09/07 14:47:05.937;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;90.613281;128.000000;70.791626;966799000;8060000000;8;95.960199;11283595000;10316796000
2022/09/07 14:47:06.94;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;61.984375;128.000000;48.425293;968963000;7980000000;8;97.139148;12252558000;11283595000
2022/09/07 14:47:07.943;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;19.207031;128.000000;15.005493;943159000;8120000000;8;92.922069;13195717000;12252558000
2022/09/07 14:47:08.946;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;19.621094;128.000000;15.328979;7134000;8050000000;8;0.708969;13202851000;13195717000
2022/09/07 14:47:09.948;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;19.687500;128.000000;15.380859;4419000;8030000000;8;0.440249;13207270000;13202851000
2022/09/07 14:47:10.951;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;19.765625;128.000000;15.441895;4562000;8040000000;8;0.453930;13211832000;13207270000
2022/09/07 14:47:11.955;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;19.875000;128.000000;15.527344;4646000;8050000000;8;0.461714;13216478000;13211832000
2022/09/07 14:47:12.958;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;19.945312;128.000000;15.582275;4177000;8040000000;8;0.415622;13220655000;13216478000
2022/09/07 14:47:13.961;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;20.011719;128.000000;15.634155;4084000;8070000000;8;0.404857;13224739000;13220655000
2022/09/07 14:47:14.964;/newfibomiddleware-udptcp_client.1.1aidn60yp5u5pil02xb7sq4bj;running;20.078125;128.000000;15.686035;4165000;7990000000;8;0.417021;13228904000;13224739000
