dateTime;container_name;container_status;used_memory(MB);available_memory(MB);memory_usage(%);cpu_delta;system_cpu_delta;number_cpus;cpu_usage(%);total_cpu_usage;pre_total_cpu_usage
2022/09/05 05:06:04.635;/newfibomiddleware-udptcp_client.1.d6cz2y0mbjp9zylj2bvw7a2m3;running;1.335938;1000.000000;0.133594;40121000;227386050000000;8;0.000141;40121000;0
2022/09/05 05:06:05.638;/newfibomiddleware-udptcp_client.1.d6cz2y0mbjp9zylj2bvw7a2m3;running;1.335938;1000.000000;0.133594;0;7980000000;8;0.000000;40121000;40121000
2022/09/05 05:06:06.641;/newfibomiddleware-udptcp_client.1.d6cz2y0mbjp9zylj2bvw7a2m3;running;1.335938;1000.000000;0.133594;0;8010000000;8;0.000000;40121000;40121000
2022/09/05 05:06:07.644;/newfibomiddleware-udptcp_client.1.d6cz2y0mbjp9zylj2bvw7a2m3;running;1.335938;1000.000000;0.133594;0;8030000000;8;0.000000;40121000;40121000
2022/09/05 05:06:08.647;/newfibomiddleware-udptcp_client.1.d6cz2y0mbjp9zylj2bvw7a2m3;running;1.335938;1000.000000;0.133594;0;8040000000;8;0.000000;40121000;40121000
2022/09/05 05:06:09.65;/newfibomiddleware-udptcp_client.1.d6cz2y0mbjp9zylj2bvw7a2m3;running;1.335938;1000.000000;0.133594;0;8010000000;8;0.000000;40121000;40121000
2022/09/05 05:06:10.653;/newfibomiddleware-udptcp_client.1.d6cz2y0mbjp9zylj2bvw7a2m3;running;1.335938;1000.000000;0.133594;0;8020000000;8;0.000000;40121000;40121000
2022/09/05 05:06:11.656;/newfibomiddleware-udptcp_client.1.d6cz2y0mbjp9zylj2bvw7a2m3;running;1.335938;1000.000000;0.133594;0;8060000000;8;0.000000;40121000;40121000
2022/09/05 05:06:12.659;/newfibomiddleware-udptcp_client.1.d6cz2y0mbjp9zylj2bvw7a2m3;running;1.335938;1000.000000;0.133594;0;8000000000;8;0.000000;40121000;40121000
2022/09/05 05:06:13.662;/newfibomiddleware-udptcp_client.1.d6cz2y0mbjp9zylj2bvw7a2m3;running;1.335938;1000.000000;0.133594;0;8030000000;8;0.000000;40121000;40121000
2022/09/05 05:06:14.665;/newfibomiddleware-udptcp_client.1.d6cz2y0mbjp9zylj2bvw7a2m3;running;2.312500;1000.000000;0.231250;3029000;8030000000;8;0.301768;43150000;40121000
2022/09/05 05:06:15.669;/newfibomiddleware-udptcp_client.1.d6cz2y0mbjp9zylj2bvw7a2m3;running;2.437500;1000.000000;0.243750;3980000;8040000000;8;0.396020;47130000;43150000
2022/09/05 05:06:16.672;/newfibomiddleware-udptcp_client.1.d6cz2y0mbjp9zylj2bvw7a2m3;running;2.453125;1000.000000;0.245312;2391000;8010000000;8;0.238801;49521000;47130000
2022/09/05 05:06:17.675;/newfibomiddleware-udptcp_client.1.d6cz2y0mbjp9zylj2bvw7a2m3;running;2.460938;1000.000000;0.246094;1992000;8030000000;8;0.198456;51513000;49521000
2022/09/05 05:06:18.678;/newfibomiddleware-udptcp_client.1.d6cz2y0mbjp9zylj2bvw7a2m3;running;2.472656;1000.000000;0.247266;2283000;8060000000;8;0.226600;53796000;51513000
2022/09/05 05:06:19.682;/newfibomiddleware-udptcp_client.1.d6cz2y0mbjp9zylj2bvw7a2m3;running;2.496094;1000.000000;0.249609;2139000;8020000000;8;0.213367;55935000;53796000
2022/09/05 05:06:20.685;/newfibomiddleware-udptcp_client.1.d6cz2y0mbjp9zylj2bvw7a2m3;running;2.609375;1000.000000;0.260937;2527000;8020000000;8;0.252070;58462000;55935000
2022/09/05 05:06:21.689;/newfibomiddleware-udptcp_client.1.d6cz2y0mbjp9zylj2bvw7a2m3;running;2.628906;1000.000000;0.262891;2064000;8110000000;8;0.203600;60526000;58462000
2022/09/05 05:06:22.692;/newfibomiddleware-udptcp_client.1.d6cz2y0mbjp9zylj2bvw7a2m3;running;2.632812;1000.000000;0.263281;2013000;8000000000;8;0.201300;62539000;60526000
2022/09/05 05:06:23.695;/newfibomiddleware-udptcp_client.1.d6cz2y0mbjp9zylj2bvw7a2m3;running;2.660156;1000.000000;0.266016;2357000;8030000000;8;0.234819;64896000;62539000
2022/09/05 05:06:24.698;/newfibomiddleware-udptcp_client.1.d6cz2y0mbjp9zylj2bvw7a2m3;running;2.683594;1000.000000;0.268359;2694000;8030000000;8;0.268394;67590000;64896000
2022/09/05 05:06:25.701;/newfibomiddleware-udptcp_client.1.d6cz2y0mbjp9zylj2bvw7a2m3;running;2.699219;1000.000000;0.269922;1924000;8050000000;8;0.191205;69514000;67590000
2022/09/05 05:06:26.705;/newfibomiddleware-udptcp_client.1.d6cz2y0mbjp9zylj2bvw7a2m3;running;2.730469;1000.000000;0.273047;2177000;8010000000;8;0.217428;71691000;69514000
2022/09/05 05:06:27.707;/newfibomiddleware-udptcp_client.1.d6cz2y0mbjp9zylj2bvw7a2m3;running;2.742188;1000.000000;0.274219;2243000;8010000000;8;0.224020;73934000;71691000
2022/09/05 05:06:28.711;/newfibomiddleware-udptcp_client.1.d6cz2y0mbjp9zylj2bvw7a2m3;running;2.769531;1000.000000;0.276953;2768000;8010000000;8;0.276454;76702000;73934000
2022/09/05 05:06:29.713;/newfibomiddleware-udptcp_client.1.d6cz2y0mbjp9zylj2bvw7a2m3;running;2.785156;1000.000000;0.278516;1780000;7930000000;8;0.179571;78482000;76702000
2022/09/05 05:06:30.716;/newfibomiddleware-udptcp_client.1.d6cz2y0mbjp9zylj2bvw7a2m3;running;2.832031;1000.000000;0.283203;2438000;8180000000;8;0.238435;80920000;78482000
2022/09/05 05:06:31.719;/newfibomiddleware-udptcp_client.1.d6cz2y0mbjp9zylj2bvw7a2m3;running;2.835938;1000.000000;0.283594;2437000;8130000000;8;0.239803;83357000;80920000
